"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2015","12,272.6","12,347.6","12,397.6","12,272.6","680.17K","-0.41%"
"05/14/2015","12,322.6","12,247.6","12,397.6","12,247.6","870.11K","0.20%"
"05/13/2015","12,297.6","12,297.6","12,322.6","12,172.6","1.44M","0.00%"
"05/12/2015","12,297.6","12,422.6","12,422.6","12,297.6","773.20K","-1.01%"
"05/11/2015","12,422.6","12,497.6","12,497.6","12,397.6","700.14K","-0.40%"
"05/08/2015","12,472.6","12,472.6","12,622.6","12,472.6","736.08K","0.00%"
"05/07/2015","12,472.6","12,447.6","12,622.6","12,397.6","804.74K","0.60%"
"05/06/2015","12,397.6","12,497.6","12,622.6","12,397.6","1.24M","-0.80%"
"05/05/2015","12,497.6","12,347.6","12,622.6","12,297.6","1.36M","1.21%"
"05/04/2015","12,347.6","12,872.5","12,997.5","12,247.6","2.50M","-4.08%"
"04/27/2015","12,872.5","12,872.5","13,122.5","12,747.5","1.94M","1.98%"
"04/24/2015","12,622.6","12,622.6","12,747.5","12,497.6","819.52K","0.00%"
"04/23/2015","12,622.6","12,622.6","12,747.5","12,447.6","1.96M","1.00%"
"04/22/2015","12,497.6","12,497.6","12,747.5","12,497.6","1.65M","0.00%"
"04/21/2015","12,497.6","12,622.6","12,747.5","12,497.6","805.97K","-0.99%"
"04/20/2015","12,622.6","12,747.5","12,747.5","12,472.6","1.10M","-0.98%"
"04/17/2015","12,747.5","12,222.6","12,872.5","12,222.6","4.57M","4.51%"
"04/16/2015","12,197.6","12,222.6","12,297.6","12,172.6","466.63K","-0.20%"
"04/15/2015","12,222.6","12,222.6","12,247.6","12,122.7","680.90K","0.41%"
"04/14/2015","12,172.6","12,297.6","12,297.6","12,172.6","684.81K","-1.02%"
"04/13/2015","12,297.6","12,297.6","12,347.6","12,272.6","500.92K","0.00%"
"04/10/2015","12,297.6","12,222.6","12,347.6","12,197.6","1.05M","0.61%"
"04/09/2015","12,222.6","12,222.6","12,247.6","12,122.7","790.64K","0.00%"
